# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:33:06.758206
# Surface: AMARILLO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 2
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,2,37,1,4579,2150,1723,567
AMARILLO,DELANTERO,2,38,1,4612,2165,1736,567
AMARILLO,DELANTERO,2,39,1,4629,2170,1736,573
AMARILLO,DELANTERO,2,40,1,4394,2067,1645,539
AMARILLO,DELANTERO,2,41,1,4504,2114,1681,556
AMARILLO,DELANTERO,2,42,1,4582,2158,1733,573
AMARILLO,DELANTERO,2,43,1,4223,1990,1581,525
AMARILLO,DELANTERO,2,44,1,3975,1880,1480,496
AMARILLO,DELANTERO,2,45,1,4105,1939,1535,510
AMARILLO,DELANTERO,2,46,1,4947,2311,1858,626
AMARILLO,DELANTERO,2,47,1,5085,2370,1918,626
AMARILLO,DELANTERO,2,48,1,5389,2499,2037,667
AMARILLO,DELANTERO,2,49,1,5175,2401,1959,633
AMARILLO,DELANTERO,2,50,1,5315,2467,2013,653
AMARILLO,DELANTERO,2,51,1,5223,2420,1979,640
AMARILLO,DELANTERO,2,52,1,5344,2484,2022,659
AMARILLO,DELANTERO,2,53,1,5335,2474,2018,657
AMARILLO,DELANTERO,2,54,1,5456,2531,2071,682
AMARILLO,DELANTERO,2,55,1,5466,2529,2076,679
AMARILLO,DELANTERO,2,56,1,5460,2520,2072,666
AMARILLO,DELANTERO,2,57,1,5696,2622,2168,703
AMARILLO,DELANTERO,2,58,1,5974,2768,2250,748
AMARILLO,DELANTERO,2,59,1,5585,2580,2113,687
AMARILLO,DELANTERO,2,60,1,5538,2562,2090,682
AMARILLO,DELANTERO,2,61,1,6091,2806,2302,767
AMARILLO,DELANTERO,2,62,1,6433,3001,2418,794
AMARILLO,DELANTERO,2,63,1,6395,2982,2398,798
AMARILLO,DELANTERO,2,64,1,5515,2559,2083,680
AMARILLO,DELANTERO,2,65,1,4825,2253,1811,600
AMARILLO,DELANTERO,2,66,1,4468,2098,1681,555
AMARILLO,DELANTERO,2,67,1,4442,2086,1667,551
AMARILLO,DELANTERO,2,68,1,4708,2209,1771,577
AMARILLO,DELANTERO,2,69,1,4838,2264,1825,596
