# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 16:24:30.042486
# Surface: AMARILLO
# Sensor under test: DELANTERO
# Number of points: 8
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,3,23,1,5681,2758,1992,582
AMARILLO,DELANTERO,3,24,1,5356,2612,1876,547
AMARILLO,DELANTERO,3,25,1,4988,2437,1719,525
AMARILLO,DELANTERO,3,26,1,4395,2166,1521,447
AMARILLO,DELANTERO,3,27,1,3742,1859,1273,390
AMARILLO,DELANTERO,3,28,1,3487,1743,1192,357
AMARILLO,DELANTERO,3,29,1,4072,2023,1399,414
AMARILLO,DELANTERO,3,30,1,4517,2230,1548,465
AMARILLO,DELANTERO,3,31,1,4611,2277,1590,468
AMARILLO,DELANTERO,3,32,1,4648,2297,1596,481
AMARILLO,DELANTERO,3,33,1,4299,2122,1466,447
AMARILLO,DELANTERO,3,34,1,4638,2280,1582,477
AMARILLO,DELANTERO,3,35,1,4994,2455,1727,517
AMARILLO,DELANTERO,3,36,1,4587,2259,1583,471
AMARILLO,DELANTERO,3,37,1,4384,2192,1484,445
AMARILLO,DELANTERO,3,38,1,4339,2172,1474,446
AMARILLO,DELANTERO,3,39,1,4140,2077,1411,416
AMARILLO,DELANTERO,3,40,1,5020,2496,1723,502
AMARILLO,DELANTERO,3,41,1,5463,2701,1886,547
AMARILLO,DELANTERO,3,42,1,5548,2736,1917,555
AMARILLO,DELANTERO,3,43,1,5340,2645,1838,537
AMARILLO,DELANTERO,3,44,1,5323,2637,1827,543
AMARILLO,DELANTERO,3,45,1,5292,2620,1822,532
AMARILLO,DELANTERO,3,46,1,5315,2630,1829,536
AMARILLO,DELANTERO,3,47,1,5318,2634,1827,538
AMARILLO,DELANTERO,3,48,1,5358,2653,1841,543
AMARILLO,DELANTERO,3,49,1,5260,2605,1808,534
AMARILLO,DELANTERO,3,50,1,5248,2600,1803,532
AMARILLO,DELANTERO,3,51,1,5244,2596,1802,532
AMARILLO,DELANTERO,3,52,1,5162,2559,1773,524
AMARILLO,DELANTERO,3,53,1,4867,2418,1664,495
AMARILLO,DELANTERO,3,54,1,4406,2204,1501,441
AMARILLO,DELANTERO,3,55,1,3978,1977,1365,411
AMARILLO,DELANTERO,3,56,1,4131,2044,1425,424
AMARILLO,DELANTERO,3,57,1,4311,2131,1486,443
AMARILLO,DELANTERO,3,58,1,5247,2560,1829,538
AMARILLO,DELANTERO,3,59,1,5448,2647,1904,561
