# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:38:38.378535
# Surface: NEGRO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 4
# Samples per point: 50
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
NEGRO,DELANTERO,4,39,1,320,125,120,67
NEGRO,DELANTERO,4,40,1,517,173,221,118
NEGRO,DELANTERO,4,41,1,575,191,222,122
NEGRO,DELANTERO,4,42,1,871,342,341,184
NEGRO,DELANTERO,4,43,1,530,208,195,110
NEGRO,DELANTERO,4,44,1,361,150,134,76
NEGRO,DELANTERO,4,45,1,450,184,154,90
NEGRO,DELANTERO,4,46,1,387,164,137,79
NEGRO,DELANTERO,4,47,1,199,82,74,43
NEGRO,DELANTERO,4,48,1,203,87,79,43
NEGRO,DELANTERO,4,49,1,188,80,60,35
NEGRO,DELANTERO,4,50,1,118,53,44,25
