# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:44:29.094429
# Surface: GRIS
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
GRIS,3,67,3433,2738,1
GRIS,3,68,3573,2892,1
GRIS,3,69,3676,2900,1
GRIS,3,70,3712,2882,1
GRIS,3,71,3490,2847,1
GRIS,3,72,3412,2880,1
GRIS,3,73,3847,2900,1
GRIS,3,74,3603,2909,1
GRIS,3,75,3182,2780,1
GRIS,3,76,3582,2906,1
GRIS,3,77,3299,2737,1
GRIS,3,78,3472,2893,1
GRIS,3,79,3698,2908,1
GRIS,3,80,3061,2851,1
GRIS,3,81,3052,2762,1
GRIS,3,82,3553,2901,1
GRIS,3,83,3687,2891,1
GRIS,3,84,4052,2861,1
GRIS,3,85,4021,2895,1
GRIS,3,86,3754,2906,1
GRIS,3,87,4053,2917,1
GRIS,3,88,3555,2904,1
GRIS,3,89,3574,2918,1
GRIS,3,90,3359,2845,1
GRIS,3,91,3151,2790,1
GRIS,3,92,3240,2878,1
GRIS,3,93,3430,2868,1
GRIS,3,94,3091,2882,1
GRIS,3,95,3626,2893,1
GRIS,3,96,3690,2891,1
GRIS,3,97,3249,2911,1
GRIS,3,98,3434,2877,1
GRIS,3,99,3529,2900,1
GRIS,3,100,3789,2844,1
GRIS,4,1,3065,2902,1
GRIS,4,2,3855,2893,1
GRIS,4,3,3393,2900,1
GRIS,4,4,3891,2866,1
GRIS,4,5,3793,2879,1
GRIS,4,6,3640,2876,1
GRIS,4,7,3345,2880,1
GRIS,4,8,3773,2802,1
GRIS,4,9,3341,2859,1
GRIS,4,10,3612,2907,1
GRIS,4,11,3607,2897,1
GRIS,4,12,3785,2840,1
GRIS,4,13,3161,2876,1
GRIS,4,14,3468,2879,1
GRIS,4,15,2937,2877,1
GRIS,4,16,3606,2887,1
GRIS,4,17,3015,2865,1
GRIS,4,18,3284,2865,1
GRIS,4,19,2950,2794,1
GRIS,4,20,3213,2784,1
GRIS,4,21,3685,2864,1
GRIS,4,22,3268,2895,1
GRIS,4,23,3760,2876,1
GRIS,4,24,3480,2889,1
GRIS,4,25,3480,2900,1
GRIS,4,26,3447,2905,1
GRIS,4,27,3876,2856,1
GRIS,4,28,3790,2856,1
GRIS,4,29,3403,2900,1
GRIS,4,30,3654,2876,1
GRIS,4,31,3160,2877,1
GRIS,4,32,3800,2888,1
GRIS,4,33,3232,2911,1
GRIS,4,34,3835,2849,1
GRIS,4,35,3493,2901,1
GRIS,4,36,3224,2887,1
GRIS,4,37,3356,2907,1
GRIS,4,38,3647,2889,1
GRIS,4,39,3759,2852,1
GRIS,4,40,3314,2902,1
GRIS,4,41,3977,2866,1
GRIS,4,42,4036,2803,1
GRIS,4,43,3145,2863,1
GRIS,4,44,3744,2872,1
GRIS,4,45,3614,2874,1
GRIS,4,46,3012,2742,1
GRIS,4,47,3262,2865,1
GRIS,4,48,3402,2871,1
GRIS,4,49,3136,2891,1
GRIS,4,50,3520,2884,1
GRIS,4,51,2902,2800,1
GRIS,4,52,3239,2896,1
GRIS,4,53,2978,2787,1
GRIS,4,54,3542,2838,1
GRIS,4,55,3423,2892,1
GRIS,4,56,3252,2863,1
GRIS,4,57,3480,2644,1
GRIS,4,58,3705,2741,1
GRIS,4,59,3814,2842,1
GRIS,4,60,3733,2874,1
GRIS,4,61,3416,2839,1
GRIS,4,62,3505,2882,1
GRIS,4,63,3141,2837,1
GRIS,4,64,3544,2861,1
GRIS,4,65,3057,2836,1
GRIS,4,66,3521,2824,1
GRIS,4,67,3662,2893,1
GRIS,4,68,3086,2875,1
GRIS,4,69,3503,2875,1
GRIS,4,70,3839,2847,1
GRIS,4,71,3983,2878,1
GRIS,4,72,3781,2863,1
GRIS,4,73,3882,2906,1
GRIS,4,74,3971,2913,1
GRIS,4,75,3721,2831,1
GRIS,4,76,3504,2874,1
GRIS,4,77,3717,2904,1
GRIS,4,78,3869,2887,1
GRIS,4,79,3804,2862,1
GRIS,4,80,3757,2796,1
GRIS,4,81,3917,2918,1
GRIS,4,82,3646,2904,1
GRIS,4,83,3299,2871,1
GRIS,4,84,3730,2913,1
GRIS,4,85,3311,2660,1
GRIS,4,86,3198,2888,1
GRIS,4,87,3954,2848,1
GRIS,4,88,3760,2870,1
GRIS,4,89,4017,2899,1
GRIS,4,90,3850,2888,1
GRIS,4,91,3925,2917,1
GRIS,4,92,3847,2904,1
GRIS,4,93,3922,2868,1
GRIS,4,94,3436,2891,1
GRIS,4,95,3667,2903,1
GRIS,4,96,3786,2905,1
GRIS,4,97,3607,2858,1
GRIS,4,98,4075,2910,1
GRIS,4,99,3367,2852,1
GRIS,4,100,3712,2905,1
GRIS,5,1,3877,2912,1
GRIS,5,2,3859,2871,1
GRIS,5,3,3544,2874,1
GRIS,5,4,3897,2871,1
GRIS,5,5,3304,2827,1
GRIS,5,6,2781,2890,1
GRIS,5,7,3728,2902,1
GRIS,5,8,3597,2905,1
GRIS,5,9,3163,2848,1
GRIS,5,10,3382,2899,1
GRIS,5,11,3039,2849,1
GRIS,5,12,3747,2833,1
GRIS,5,13,3938,2838,1
GRIS,5,14,3335,2874,1
GRIS,5,15,3095,2878,1
GRIS,5,16,3461,2867,1
GRIS,5,17,3487,2869,1
GRIS,5,18,3808,2894,1
GRIS,5,19,3372,2908,1
GRIS,5,20,3013,2921,1
GRIS,5,21,3724,2847,1
GRIS,5,22,3327,2910,1
GRIS,5,23,3832,2804,1
GRIS,5,24,3563,2839,1
GRIS,5,25,3415,2757,1
GRIS,5,26,3212,2820,1
GRIS,5,27,3518,2833,1
GRIS,5,28,3475,2873,1
GRIS,5,29,3700,2840,1
GRIS,5,30,3447,2918,1
GRIS,5,31,3663,2872,1
GRIS,5,32,3158,2910,1
GRIS,5,33,3206,2902,1
GRIS,5,34,3355,2890,1
GRIS,5,35,3399,2897,1
GRIS,5,36,3756,2906,1
GRIS,5,37,3829,2907,1
GRIS,5,38,3589,2827,1
GRIS,5,39,3485,2908,1
GRIS,5,40,3712,2878,1
GRIS,5,41,3768,2902,1
GRIS,5,42,4040,2917,1
GRIS,5,43,3945,2922,1
GRIS,5,44,3946,2922,1
GRIS,5,45,3961,2905,1
GRIS,5,46,4011,2916,1
GRIS,5,47,3625,2808,1
GRIS,5,48,3567,2855,1
GRIS,5,49,3220,2849,1
GRIS,5,50,3635,2902,1
GRIS,5,51,3433,2774,1
GRIS,5,52,3826,2911,1
GRIS,5,53,3594,2841,1
GRIS,5,54,3446,2906,1
GRIS,5,55,3573,2844,1
GRIS,5,56,3604,2887,1
GRIS,5,57,3884,2902,1
GRIS,5,58,3802,2846,1
GRIS,5,59,3409,2864,1
GRIS,5,60,3751,2883,1
GRIS,5,61,3997,2904,1
GRIS,5,62,3931,2908,1
GRIS,5,63,3357,2742,1
GRIS,5,64,3231,2867,1
GRIS,5,65,3127,2874,1
GRIS,5,66,3204,2920,1
GRIS,5,67,3825,2803,1
GRIS,5,68,3621,2863,1
GRIS,5,69,3099,2842,1
GRIS,5,70,3646,2906,1
GRIS,5,71,3661,2886,1
GRIS,5,72,3990,2878,1
GRIS,5,73,4039,2917,1
GRIS,5,74,3830,2907,1
GRIS,5,75,3745,2837,1
GRIS,5,76,3526,2875,1
GRIS,5,77,3462,2913,1
GRIS,5,78,3868,2821,1
GRIS,5,79,3574,2899,1
GRIS,5,80,2929,2849,1
GRIS,5,81,3527,2865,1
GRIS,5,82,3328,2822,1
GRIS,5,83,3215,2826,1
GRIS,5,84,3280,2771,1
GRIS,5,85,3589,2839,1
GRIS,5,86,3502,2821,1
GRIS,5,87,3382,2845,1
GRIS,5,88,3136,2912,1
GRIS,5,89,3580,2847,1
GRIS,5,90,4013,2915,1
GRIS,5,91,4017,2919,1
GRIS,5,92,3190,2884,1
GRIS,5,93,3593,2860,1
GRIS,5,94,3375,2888,1
GRIS,5,95,3457,2897,1
GRIS,5,96,3115,2906,1
GRIS,5,97,3592,2900,1
GRIS,5,98,3052,2899,1
GRIS,5,99,3557,2877,1
GRIS,5,100,3678,2793,1
